,age,sex,wtyrago,finalwt,wtkg2,htm3
767,52.0,2,68.18181818181817,363.781508,65.0,157.0
768,85.0,2,49.99999999999999,373.43972,50.0,155.0
769,74.0,2,65.9090909090909,283.259328,65.91,170.0
770,72.0,2,79.54545454545453,254.363325,79.55,
771,42.0,2,59.99999999999999,424.742984,60.0,163.0
772,89.0,1,88.18181818181817,440.145868,87.27,185.0
773,24.0,2,127.27272727272727,3861.89409,122.73,170.0
774,63.0,1,91.81818181818181,925.006916,97.73,168.0
775,57.0,2,72.72727272727272,616.419765,72.73,163.0
776,45.0,2,90.9090909090909,369.165591,90.91,163.0
777,47.0,1,86.36363636363636,550.846841,90.91,178.0
778,38.0,2,81.81818181818181,849.485968,90.91,183.0
779,59.0,1,134.0909090909091,2082.65557,134.09,180.0
780,47.0,2,72.72727272727272,727.563017,81.82,157.0
781,59.0,1,70.45454545454545,925.006916,77.27,175.0
782,77.0,2,81.81818181818181,548.034587,81.82,165.0
783,73.0,2,90.9090909090909,254.363325,90.91,160.0
784,66.0,2,,508.726651,,173.0
785,40.0,2,,849.485968,,165.0
786,77.0,2,75.0,373.43972,75.0,173.0
787,65.0,2,55.45454545454545,141.629664,54.55,170.0
788,37.0,2,77.27272727272727,424.742984,77.27,170.0
789,20.0,2,92.27272727272727,1822.07222,97.73,152.0
790,65.0,2,68.18181818181817,508.726651,68.18,163.0
791,29.0,1,77.27272727272727,1258.34971,77.27,183.0
792,62.0,1,97.72727272727272,1040.58688,95.45,183.0
793,50.0,2,68.18181818181817,546.036699,68.18,168.0
794,37.0,1,104.54545454545453,1668.23519,104.55,180.0
795,48.0,2,81.81818181818181,546.036699,81.82,170.0
796,46.0,1,90.9090909090909,805.9493,90.91,185.0
797,51.0,2,109.09090909090908,363.781508,94.55,175.0
798,36.0,2,84.09090909090908,424.742984,84.09,170.0
799,64.0,2,72.72727272727272,924.629647,86.36,173.0
800,67.0,2,54.54545454545454,254.363325,50.0,168.0
801,44.0,1,99.54545454545453,834.117593,95.45,185.0
802,31.0,2,59.090909090909086,1328.91514,59.09,178.0
803,61.0,2,75.0,462.623589,77.27,165.0
804,69.0,2,56.36363636363636,508.726651,55.45,157.0
805,27.0,1,81.81818181818181,1888.78518,81.82,173.0
806,68.0,2,52.272727272727266,508.726651,52.27,147.0
807,61.0,2,54.54545454545454,616.419765,51.82,163.0
808,52.0,1,,1101.69368,100.0,183.0
809,55.0,2,88.63636363636363,308.209882,79.55,165.0
810,77.0,2,68.18181818181817,373.43972,68.18,160.0
811,56.0,2,118.18181818181817,924.629647,118.18,165.0
812,49.0,2,56.81818181818181,727.563017,61.36,157.0
813,35.0,2,90.9090909090909,637.539984,68.18,168.0
814,31.0,1,72.72727272727272,3674.61631,81.82,183.0
815,44.0,2,75.0,637.539984,77.27,168.0
816,67.0,1,,384.487451,90.91,183.0
817,67.0,2,88.18181818181817,508.726651,76.36,160.0
818,83.0,1,77.72727272727272,731.753079,77.73,170.0
819,19.0,2,49.99999999999999,3861.89409,50.0,170.0
820,35.0,2,54.54545454545454,849.485968,54.55,157.0
821,21.0,2,56.81818181818181,2572.87772,61.36,165.0
822,74.0,1,95.45454545454545,384.487451,95.45,188.0
823,49.0,1,,1101.69368,102.27,178.0
824,56.0,1,90.9090909090909,925.006916,80.91,180.0
825,45.0,1,68.18181818181817,826.8221,75.0,168.0
826,59.0,1,65.45454545454545,925.006916,69.09,180.0
827,77.0,1,,880.291735,87.27,180.0
828,36.0,2,109.09090909090908,849.485968,100.0,173.0
829,,2,68.18181818181817,1108.23643,68.18,165.0
830,47.0,2,63.63636363636363,727.563017,63.64,157.0
831,22.0,1,77.27272727272727,1372.6883,77.27,180.0
832,66.0,2,72.72727272727272,254.363325,63.64,163.0
833,56.0,1,118.18181818181817,718.300181,118.18,183.0
834,83.0,2,,567.424,104.55,173.0
835,73.0,2,68.18181818181817,131.681338,68.18,150.0
836,87.0,2,59.090909090909086,193.325991,59.09,170.0
837,77.0,1,72.72727272727272,455.718188,72.73,178.0
838,67.0,1,102.27272727272727,398.090581,102.27,185.0
839,65.0,1,95.45454545454545,436.919889,90.0,175.0
840,51.0,1,90.9090909090909,855.503627,125.0,191.0
841,80.0,2,77.27272727272727,193.325991,77.27,165.0
842,61.0,1,116.81818181818181,418.524861,116.82,175.0
843,51.0,2,61.81818181818181,376.652065,57.73,168.0
844,20.0,2,63.63636363636363,1256.8519,61.36,170.0
845,72.0,2,99.99999999999999,131.681338,100.0,168.0
846,65.0,2,72.72727272727272,131.681338,72.73,155.0
847,66.0,1,79.54545454545453,398.090581,75.0,163.0
848,81.0,2,70.45454545454545,283.712,72.73,170.0
849,42.0,2,84.09090909090908,659.655527,68.18,165.0
850,55.0,2,72.72727272727272,478.67148,72.73,170.0
851,72.0,2,,263.362676,,178.0
852,74.0,1,86.36363636363636,199.045291,86.36,175.0
853,76.0,2,54.54545454545454,386.651982,52.27,157.0
854,40.0,2,70.45454545454545,219.885176,61.36,152.0
855,87.0,2,67.27272727272727,283.712,67.27,165.0
856,87.0,2,68.18181818181817,193.325991,61.36,168.0
857,84.0,1,65.9090909090909,227.859094,65.91,178.0
858,44.0,1,116.36363636363636,431.814298,116.36,191.0
859,67.0,2,85.9090909090909,146.640508,98.18,170.0
860,18.0,1,127.27272727272727,3198.86184,127.27,183.0
861,61.0,2,,319.11432,,178.0
862,54.0,2,97.72727272727272,286.763262,90.0,150.0
863,65.0,1,90.9090909090909,199.045291,90.91,168.0
864,58.0,2,80.45454545454545,159.55716,83.18,157.0
865,70.0,2,,131.681338,,170.0
866,41.0,2,65.0,439.770352,65.91,165.0
867,54.0,2,79.54545454545453,382.226635,81.82,168.0
868,57.0,2,72.72727272727272,159.55716,72.73,170.0
869,43.0,2,75.0,329.935093,79.55,170.0
870,50.0,1,79.54545454545453,570.335751,79.55,180.0
871,22.0,1,68.18181818181817,4990.17556,70.45,183.0
872,76.0,2,86.36363636363636,193.325991,93.64,165.0
873,66.0,2,75.0,131.681338,75.0,170.0
874,49.0,2,36.36363636363636,286.763262,79.55,168.0
875,53.0,1,131.8181818181818,1251.69557,131.82,191.0
876,49.0,1,104.54545454545453,285.167876,90.91,178.0
877,50.0,1,95.45454545454545,570.335751,95.45,183.0
878,73.0,1,68.18181818181817,398.090581,79.55,178.0
879,77.0,2,95.45454545454545,386.651982,95.45,165.0
880,74.0,1,79.54545454545453,398.090581,81.82,178.0
881,60.0,1,90.9090909090909,404.157506,81.82,168.0
882,49.0,2,51.36363636363636,376.652065,51.36,160.0
883,61.0,2,50.90909090909091,319.11432,50.91,155.0
884,55.0,2,77.27272727272727,319.11432,77.27,165.0
885,63.0,1,121.36363636363636,538.701375,110.45,173.0
886,66.0,2,49.99999999999999,263.362676,50.0,152.0
887,25.0,1,84.09090909090908,1954.30501,71.82,173.0
888,56.0,2,69.09090909090908,159.55716,69.09,173.0
889,44.0,1,154.54545454545453,431.814298,131.82,183.0
890,53.0,2,59.99999999999999,376.652065,67.27,168.0
891,55.0,2,54.54545454545454,319.11432,54.55,163.0
892,34.0,2,63.18181818181818,687.966019,63.18,155.0
893,70.0,2,47.272727272727266,131.681338,47.27,165.0
894,30.0,2,55.45454545454545,1032.28484,56.82,152.0
895,40.0,1,143.18181818181816,1295.86445,113.64,175.0
896,79.0,1,75.9090909090909,455.718188,74.55,170.0
897,43.0,2,95.45454545454545,291.654463,86.36,183.0
898,24.0,1,84.09090909090908,1871.92478,84.09,188.0
899,45.0,1,131.8181818181818,855.503627,131.82,193.0
900,71.0,1,95.45454545454545,199.045291,95.45,180.0
901,54.0,1,89.99999999999999,417.231856,90.0,188.0
902,58.0,1,83.18181818181817,478.866788,83.18,170.0
903,49.0,2,54.54545454545454,376.652065,54.55,168.0
904,82.0,2,81.81818181818181,386.651982,81.82,168.0
905,52.0,1,118.18181818181817,570.335751,118.18,188.0
906,62.0,2,54.54545454545454,159.55716,53.64,163.0
907,74.0,2,70.45454545454545,131.681338,70.45,168.0
908,76.0,2,81.81818181818181,290.083353,81.82,163.0
909,62.0,2,72.72727272727272,140.733956,69.09,157.0
